Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL.1.10,CopiesPer20uLWell,ConcentrationPeruL,ConcentrationPerGSample,AcceptedDroplets
63,4,63-S,CC4-pre-inoc-1-4mos-4-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.04,20.8,10.4,36400,19304
84,5,84-R,CC4-pre-inoc-1-4mos-5-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,7.1,142,71,248500,16828
84,5,84-S,CC4-pre-inoc-1-4mos-5-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.16,3.2,1.6,5600,14625
101,6,101-R,CC4-pre-inoc-1-4mos-6-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.21,4.2,2.1,7350,17162
101,6,101-S,CC4-pre-inoc-1-4mos-6-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.43,8.6,4.3,15050,19333
130,7,130-R,CC4-pre-inoc-1-4mos-7-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,57.3,1146,573,2005500,17156
130,7,130-S,CC4-pre-inoc-1-4mos-7-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.32,6.4,3.2,11200,18344
7,1,7-R,CC4-pre-inoc-2-2mos-1-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.1,22,11,38500,18464
7,1,7-S,CC4-pre-inoc-2-2mos-1-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.4,28,14,49000,17201
28,2,28-R,CC4-pre-inoc-2-2mos-2-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,3.1,62,31,108500,17277
28,2,28-S,CC4-pre-inoc-2-2mos-2-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.93,18.6,9.3,32550,19077
44,3,44-R,CC4-pre-inoc-2-2mos-3-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,5.9,118,59,206500,13622
44,3,44-S,CC4-pre-inoc-2-2mos-3-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.1,22,11,38500,13875
70,4,70-R,CC4-pre-inoc-2-2mos-4-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,8,160,80,280000,17352
70,4,70-S,CC4-pre-inoc-2-2mos-4-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.71,14.2,7.1,24850,18174
85,5,85-R,CC4-pre-inoc-2-2mos-5-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,8.2,164,82,287000,18047
85,5,85-S,CC4-pre-inoc-2-2mos-5-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.25,5,2.5,8750,14147
111,6,111-R,CC4-pre-inoc-2-2mos-6-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.88,17.6,8.8,30800,17367
111,6,111-S,CC4-pre-inoc-2-2mos-6-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.42,8.4,4.2,14700,14168
133,7,133-R,CC4-pre-inoc-2-2mos-7-R,CC4,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.8,16,8,28000,13855
133,7,133-S,CC4-pre-inoc-2-2mos-7-S,CC4,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.19,3.8,1.9,6650,18533
16,1,16-R,CC4-pre-inoc-2-4mos-1-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1,20,10,35000,17250
16,1,16-S,CC4-pre-inoc-2-4mos-1-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1,20,10,35000,16925
31,2,31-R,CC4-pre-inoc-2-4mos-2-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.37,7.4,3.7,12950,15938
31,2,31-S,CC4-pre-inoc-2-4mos-2-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.2,24,12,42000,17108
58,3,58-R,CC4-pre-inoc-2-4mos-3-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,20.6,412,206,721000,16340
58,3,58-S,CC4-pre-inoc-2-4mos-3-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.13,2.6,1.3,4550,17499
65,4,65-R,CC4-pre-inoc-2-4mos-4-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,9.8,196,98,343000,18277
65,4,65-S,CC4-pre-inoc-2-4mos-4-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.2,24,12,42000,18108
82,5,82-R,CC4-pre-inoc-2-4mos-5-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.7,34,17,59500,20665
82,5,82-S,CC4-pre-inoc-2-4mos-5-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.43,8.6,4.3,15050,13791
110,6,110-R,CC4-pre-inoc-2-4mos-6-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1,20,10,35000,17926
110,6,110-S,CC4-pre-inoc-2-4mos-6-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.18,3.6,1.8,6300,13414
125,7,125-R,CC4-pre-inoc-2-4mos-7-R,CC4,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.6,32,16,56000,15747
125,7,125-S,CC4-pre-inoc-2-4mos-7-S,CC4,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.08,1.6,0.8,2800,15628
15,1,15-R,Control-2mos-1-R,Control,Roots,2,Control,non-colonized roots,no inoculation,0,0,0,0,18253
15,1,15-S,Control-2mos-1-S,Control,Soil,2,Control,non-colonized roots,no inoculation,0,0,0,0,18453
27,2,27-R,Control-2mos-2-R,Control,Roots,2,Control,non-colonized roots,no inoculation,0,0,0,0,17761
27,2,27-S,Control-2mos-2-S,Control,Soil,2,Control,non-colonized roots,no inoculation,0,0,0,0,18796
53,3,53-R,Control-2mos-3-R,Control,Roots,2,Control,non-colonized roots,no inoculation,0,0,0,0,17369
53,3,53-S,Control-2mos-3-S,Control,Soil,2,Control,non-colonized roots,no inoculation,0,0,0,0,17549
77,4,77-R,Control-2mos-4-R,Control,Roots,2,Control,non-colonized roots,no inoculation,0,0,0,0,16270
77,4,77-S,Control-2mos-4-S,Control,Soil,2,Control,non-colonized roots,no inoculation,0,0,0,0,18471
92,5,92-R,Control-2mos-5-R,Control,Roots,2,Control,non-colonized roots,no inoculation,0,0,0,0,16186
92,5,92-S,Control-2mos-5-S,Control,Soil,2,Control,non-colonized roots,no inoculation,0,0,0,0,17657
106,6,106-R,Control-2mos-6-R,Control,Roots,2,Control,non-colonized roots,no inoculation,0,0,0,0,15413
106,6,106-S,Control-2mos-6-S,Control,Soil,2,Control,non-colonized roots,no inoculation,0,0,0,0,16957
126,7,126-R,Control-2mos-7-R,Control,Roots,2,Control,non-colonized roots,no inoculation,0,0,0,0,15187
126,7,126-S,Control-2mos-7-S,Control,Soil,2,Control,non-colonized roots,no inoculation,0,0,0,0,14087
8,1,8-R,Control-4mos-1-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0,0,15620
8,1,8-S,Control-4mos-1-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0,0,14187
35,2,35-R,Control-4mos-2-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0,0,14668
35,2,35-S,Control-4mos-2-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0,0,17432
60,3,60-R,Control-4mos-3-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0,0,18597
60,3,60-S,Control-4mos-3-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0,0,17959
80,4,80-R,Control-4mos-4-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0,0,18045
80,4,80-S,Control-4mos-4-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0,0,14856
