Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL,ConcentrationPerGSample,Presence
60,3,60-S,Control-4mos-3-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0
80,4,80-R,Control-4mos-4-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0
80,4,80-S,Control-4mos-4-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0
87,5,87-R,Control-4mos-5-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0
87,5,87-S,Control-4mos-5-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0
115,6,115-R,Control-4mos-6-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0
115,6,115-S,Control-4mos-6-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0
139,7,139-R,Control-4mos-7-R,Control,Roots,4,Control,non-colonized roots,no inoculation,0,0,0
139,7,139-S,Control-4mos-7-S,Control,Soil,4,Control,non-colonized roots,no inoculation,0,0,0
14,1,14-R,Cuba8-co-inoc-2mos-1-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,17,59500,1
14,1,14-S,Cuba8-co-inoc-2mos-1-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,74,259000,1
26,2,26-R,Cuba8-co-inoc-2mos-2-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,21,73500,1
26,2,26-S,Cuba8-co-inoc-2mos-2-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,62,217000,1
49,3,49-R,Cuba8-co-inoc-2mos-3-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,27,94500,1
49,3,49-S,Cuba8-co-inoc-2mos-3-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.5,19250,1
75,4,75-R,Cuba8-co-inoc-2mos-4-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,6.8,23800,1
75,4,75-S,Cuba8-co-inoc-2mos-4-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,78,273000,1
90,5,90-R,Cuba8-co-inoc-2mos-5-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.9,20650,1
90,5,90-S,Cuba8-co-inoc-2mos-5-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,9,31500,1
104,6,104-R,Cuba8-co-inoc-2mos-6-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,6.4,22400,1
104,6,104-S,Cuba8-co-inoc-2mos-6-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,13,45500,1
134,7,134-R,Cuba8-co-inoc-2mos-7-R,Cuba8,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,10,35000,1
134,7,134-S,Cuba8-co-inoc-2mos-7-S,Cuba8,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,13,45500,1
20,1,20-R,Cuba8-co-inoc-4mos-1-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,22,77000,1
20,1,20-S,Cuba8-co-inoc-4mos-1-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,82,287000,1
22,2,22-R,Cuba8-co-inoc-4mos-2-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,13,45500,1
22,2,22-S,Cuba8-co-inoc-4mos-2-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,52,182000,1
56,3,56-R,Cuba8-co-inoc-4mos-3-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,29,101500,1
56,3,56-S,Cuba8-co-inoc-4mos-3-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,12,42000,1
69,4,69-R,Cuba8-co-inoc-4mos-4-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.9,6650,1
69,4,69-S,Cuba8-co-inoc-4mos-4-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,69,241500,1
88,5,88-R,Cuba8-co-inoc-4mos-5-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,11,38500,1
88,5,88-S,Cuba8-co-inoc-4mos-5-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.8,20300,1
107,6,107-R,Cuba8-co-inoc-4mos-6-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.6,19600,1
107,6,107-S,Cuba8-co-inoc-4mos-6-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,20,70000,1
129,7,129-R,Cuba8-co-inoc-4mos-7-R,Cuba8,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,5.5,19250,1
129,7,129-S,Cuba8-co-inoc-4mos-7-S,Cuba8,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,11,38500,1
17,1,17-R,Cuba8-pre-inoc-1-2mos-1-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,58,203000,1
17,1,17-S,Cuba8-pre-inoc-1-2mos-1-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,58,203000,1
25,2,25-R,Cuba8-pre-inoc-1-2mos-2-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,25,87500,1
25,2,25-S,Cuba8-pre-inoc-1-2mos-2-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,75,262500,1
47,3,47-R,Cuba8-pre-inoc-1-2mos-3-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,31,108500,1
47,3,47-S,Cuba8-pre-inoc-1-2mos-3-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,86,301000,1
62,4,62-R,Cuba8-pre-inoc-1-2mos-4-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,16,56000,1
62,4,62-S,Cuba8-pre-inoc-1-2mos-4-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,64,224000,1
89,5,89-R,Cuba8-pre-inoc-1-2mos-5-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,25,87500,1
89,5,89-S,Cuba8-pre-inoc-1-2mos-5-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.7,19950,1
117,6,117-R,Cuba8-pre-inoc-1-2mos-6-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,53,185500,1
117,6,117-S,Cuba8-pre-inoc-1-2mos-6-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,11,38500,1
132,7,132-R,Cuba8-pre-inoc-1-2mos-7-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,7.3,25550,1
132,7,132-S,Cuba8-pre-inoc-1-2mos-7-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,10,35000,1
1,1,1-R,Cuba8-pre-inoc-1-4mos-1-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,28,98000,1
1,1,1-S,Cuba8-pre-inoc-1-4mos-1-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,68,238000,1
33,2,33-R,Cuba8-pre-inoc-1-4mos-2-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,25,87500,1
33,2,33-S,Cuba8-pre-inoc-1-4mos-2-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,80,280000,1
48,3,48-R,Cuba8-pre-inoc-1-4mos-3-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,33,115500,1
48,3,48-S,Cuba8-pre-inoc-1-4mos-3-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,83,290500,1
68,4,68-R,Cuba8-pre-inoc-1-4mos-4-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,22,77000,1
68,4,68-S,Cuba8-pre-inoc-1-4mos-4-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,61,213500,1
95,5,95-R,Cuba8-pre-inoc-1-4mos-5-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,50,175000,1
95,5,95-S,Cuba8-pre-inoc-1-4mos-5-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,15,52500,1
103,6,103-R,Cuba8-pre-inoc-1-4mos-6-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,176,616000,1
103,6,103-S,Cuba8-pre-inoc-1-4mos-6-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,22,77000,1
123,7,123-R,Cuba8-pre-inoc-1-4mos-7-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.8,20300,1
